id,name,Status,Release_Date,Genre,Language,Director,Color,Censor_Details,Censor_Dates,Censor_Certificate_No,Runtime,Certification,Length_in_metres,Banner,Music_Company,Studio,Shooting_Location
541511,Baru - The Wonder Kid,{},15 Oct 2010,"Fantasy, Animation",Hindi,Sachin Gote,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Lemon N Yellow Productions|Shri Vishnu Entertainment,"","",""
535218,Ang Se Ang Laga Lay,{},1 Nov 2002,{},Hindi,{},C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,"","","",""
503530,Tunnu Ki Tina,{},1 Jan 1996,"Social, Offbeat",Hindi,Paresh Kamdar,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,N F D C,"","",""
582240,Warning,Released,27 Sep 2013,"Thriller, 3D",Hindi,Gurmmeet Singh,C,{},23 Sep 2013,DIL/2/194/2013,109 Minutes,U/A,0.0,Eros International|  Alumbra Entertainment| Benaras Media Works,Sony Music,"",""
547349,Janleva 555,Released,19 Oct 2012,"Romance, Thriller",Hindi,Sandeep Malani,C,{},25 Jul 2012,Not Available.,140 Minutes,U/A,0.0,House of Pandit,House of Pandit,"",""
686574,The Legend of Michael Mishra,Under Production,5 Aug 2016,Drama,Hindi,Manish Jha,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Eye Candy Films,"","",""
507906,Daas Dev,Completed,2016,{},Hindi,Sudhir Mishra,C,{},Not Available.,Not Available.,Not Available.,NA,0.0,Pritish Nandy Communications,"","",""
553244,Murder 3,Released,15 Feb 2013,Thriller,Hindi,Vishesh Bhatt,C,{},28 Dec 2012,DIL/2/157/2012,121 Minutes,U/A,0.0,Vishesh Films|Fox Star Studios,Sony Music,"",""
534062,Shaadi Ke Side Effects,Released,28 Feb 2014,"Romance, Comedy, Social",Hindi,Saket Chowdhary,C,{},12 Feb 2014,DIL/2/32/2014,145 Minutes,U/A,0.0,Pritish Nandy Communications| Balaji Motion Pictures,T-Series,"",""
538395,Mausam,Released,23 Sep 2011,Romance,Hindi,Pankaj Kapoor,C,{},13 Sep 2011,CIL/1/115/2011,154 Minutes,U,4519.68,Eros International| Vistaar Religare Film Fund| Cinergy,T-Series,"",""
66564,Kuch Khatta Kuch Meetha,Under Production,1 Jan 2011,{},Hindi,{},C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,"","","",""
